ementa,acordao,entail
"LEI – APLICAÇÃO NO TEMPO – TRIBUTO – IRRETROATIVIDADE. Lei regedora de tributo há de ser editada em certo exercício, para observância no subsequente. BALANÇO – CORREÇÃO MONETÁRIA – EXERCÍCIO DE 1989 – ARTIGO 30, § 2º, DA LEI Nº 7.799/89. Ante o princípio da irretroatividade, surge inconstitucional o § 2º do artigo 30 da Lei nº 7.799/89, no que impôs a correção monetária das demonstrações financeiras referentes ao exercício de 1989.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal em conhecer do recurso extraordinário e a ele dar provimento, declarando a inconstitucionalidade do § 2º do artigo 30 da Lei nº 7.799, de 10 de julho de 1989, nos termos do voto do relator e por unanimidade, em sessão presidida pelo Ministro Ricardo Lewandowski, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
IMUNIDADE – LIVROS FISCAIS. O fato de a pessoa jurídica gozar da imunidade tributária não afasta a exigibilidade de manutenção dos livros fiscais.,"Vistos, relatados e discutidos estes autos, acordam os Ministros da Primeira Turma do Supremo Tribunal Federal em desprover o recurso extraordinário, nos termos do voto do relator e por unanimidade, em sessão presidida pelo Ministro Dias Toffoli, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"DEVIDO PROCESSO LEGAL – SITUAÇÃO CONSTITUÍDA – PRONUNCIAMENTO DO SUPREMO EM PROCESSO OBJETIVO – OBSERVÂNCIA AUTOMÁTICA – INSUBSISTÊNCIA. O fato de o Supremo haver declarado, em processo subjetivo, a inconstitucionalidade de certo ato normativo não afasta o devido processo legal administrativo no que existente situação jurídica.","Vistos, relatados e discutidos estes autos, acordam os Ministros da Primeira Turma do Supremo Tribunal Federal em dar provimento ao recurso extraordinário, nos termos do voto do relator e por unanimidade, em sessão presidida pela Ministra Cármen Lúcia, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
SERVIÇO PÚBLICO – DESLIGAMENTO – DEVIDO PROCESSO LEGAL. O desligamento de prestador de serviço público há de fazer-se observando-se o devido processo legal administrativo.,"Vistos, relatados e discutidos estes autos, acordam os Ministros da Primeira Turma do Supremo Tribunal Federal em prover o recurso extraordinário, nos termos do voto do relator e por unanimidade, em sessão presidida pelo Ministro Luiz Fux, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"EMENTA: RECURSO EXTRAORDINÁRIO. CONSTITUCIONAL. PREVISÃO DE LEI COMPLEMENTAR PARA TRATAR DE SERVIDORES PÚBLICOS MUNICIPAIS. PROCESSO LEGISLATIVO. MATÉRIA CUJA CONSTITUIÇÃO DA REPÚBLICA EXIGE LEI ORDINÁRIA. PRECEDENTE DO PLENÁRIO DO SUPREMO TRIBUNAL FEDERAL. ADI 2.872/PI. RECURSO PROVIDO. DECLARAÇÃO DE INCONSTITUCIONALIDADE DO ART. 37, PARÁGRAFO ÚNICO, INC. IV, V E VI, DA LEI MUNICIPAL N. 742/1990 (LEI ORGÂNICA DO MUNICÍPIO DE PEDRANÓPOLIS/SP).","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Segunda Turma, sob a Presidência do Ministro Teori Zavascki, na conformidade da ata de julgamento e das notas taquigráficas, por unanimidade, dar provimento ao recurso extraordinário para declarar a inconstitucionalidade do art. 37, parágrafo único, incisos IV, V e VI da Lei municipal n. 742/1990 (Lei Orgânica do Município de Pedranópolis/SP), nos termos do voto da Relatora.",1
"APOSENTADORIA – JUIZ CLASSISTA – DIREITO AO REGIME DA LEI Nº 6.903/81 – REVOGAÇÃO PELA MEDIDA PROVISÓRIA Nº 1.523/96 – CONSTITUCIONALIDADE – PRECEDENTES. O Supremo, na Ação Direta de Inconstitucionalidade nº 1.878/DF, relator ministro Ilmar Galvão, assentou a subsistência da Medida Provisória nº 1.523/96 e reedições no ponto em que revogada a disciplina da Lei nº 6.903/81 acerca da aposentadoria dos classistas. Aplicação da norma no tempo considerada a data do implemento dos requisitos relativos à jubilação.","Vistos, relatados e discutidos estes autos, acordam os Ministros da Primeira Turma do Supremo Tribunal Federal em desprover o recurso extraordinário, nos termos do voto do relator e por unanimidade, em sessão presidida pelo Ministro Marco Aurélio, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"EMENTA: RECURSO EXTRAORDINÁRIO. PREVIDENCIÁRIO. SERVIDOR DO BANCO CENTRAL DO BRASIL. PENSÃO INSTITUÍDA ANTES DA PROMULGAÇÃO DA CONSTITUIÇÃO DA REPÚBLICA DE 1988. PEDIDO DE EQUIPARAÇÃO DE VENCIMENTOS COM SERVIDORES DA ATIVA. ALEGAÇÃO DE CONTRARIEDADE AOS ARTS. 5º, CAPUT, E INC. I, 39, § 1º, 40, §§ 4º E 5º, DA CONSTITUIÇÃO E AO ART. 20 DO ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS. IMPOSSIBILIDADE. PRECEDENTES. RECURSO AO QUAL SE NEGA PROVIMENTO.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Primeira Turma, sob a Presidência do Ministro Dias Toffoli, na conformidade da ata de julgamento e das notas taquigráficas, por maioria de votos, em negar provimento ao recurso extraordinário, nos termos do voto da Relatora. Vencido o Ministro Marco Aurélio.",1
"IMPOSTO SOBRE CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS – BASE DE INCIDÊNCIA REDUZIDA – SISTEMA OPCIONAL. Sendo opcional o sistema a envolver base do tributo reduzida, não se tem violência ao princípio da não cumulatividade no que considerado o crédito de forma proporcional.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal em dar provimento ao recurso extraordinário, nos termos do voto do relator e por unanimidade, em sessão presidida pelo Ministro Ricardo Lewandowski, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"CONTRIBUIÇÃO – SEGURIDADE SOCIAL – EMPREGADOR. A contribuição social a cargo do empregador incide sobre ganhos habituais do empregado, a qualquer título, quer anteriores, quer posteriores à Emenda Constitucional nº 20/1998 – inteligência dos artigos 195, inciso I, e 201, § 11, da Constituição Federal.","Vistos, relatados e discutidos estes autos, acordam os Ministros da Primeira Turma do Supremo Tribunal Federal em conhecer do recurso extraordinário e desprovê-lo, nos termos do voto do relator e por unanimidade, em sessão presidida pelo Ministro Marco Aurélio, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"IMUNIDADE – DISCIPLINA – LEI COMPLEMENTAR. Ante a Constituição Federal, que a todos indistintamente submete, a regência de imunidade faz-se mediante lei complementar.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal em prover o recurso extraordinário, nos termos do voto do relator e por maioria, em sessão presidida pela Ministra Cármen Lúcia, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"EMENTA: TRIBUTÁRIO. CONTRIBUIÇÃO SOCIAL. § 6º DO ART. 195, DA CONSTITUIÇÃO DA REPÚBLICA: APLICAÇÃO À CONTRIBUIÇÃO AO PIS. LEI DE CONVERSÃO DE MEDIDA PROVISÓRIA. DISPOSITIVO SUSCITADO AUSENTE DO TEXTO DA MEDIDA PROVISÓRIA: CONTAGEM DA ANTERIORIDADE NONAGESIMAL A PARTIR DA PUBLICAÇÃO DA LEI. 1. A contribuição ao PIS sujeita-se à regra do § 6o do art. 195 da Constituição da República. 2. Aplicação da anterioridade nonagesimal à majoração de alíquota feita na conversão de medida provisória em lei. 3. Recurso extraordinário ao qual se nega provimento.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Sessão Plenária, na conformidade da ata de julgamento e das notas taquigráficas, por unanimidade, em negar provimento ao recurso extraordinário, nos termos do voto da Relatora. Votou o Presidente, Ministro Joaquim Barbosa. Ausente, justificadamente, o Ministro Celso de Mello.",1
"AÇÃO RESCISÓRIA VERSUS UNIFORMIZAÇÃO DA JURISPRUDÊNCIA. O Direito possui princípios, institutos, expressões e vocábulos com sentido próprio, não cabendo colar a sinonímia às expressões “ação rescisória” e “uniformização da jurisprudência”. AÇÃO RESCISÓRIA – VERBETE Nº 343 DA SÚMULA DO SUPREMO. O Verbete nº 343 da Súmula do Supremo deve de ser observado em situação jurídica na qual, inexistente controle concentrado de constitucionalidade, haja entendimentos diversos sobre o alcance da norma, mormente quando o Supremo tenha sinalizado, num primeiro passo, óptica coincidente com a revelada na decisão rescindenda.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal em conhecer e dar provimento ao recurso extraordinário, nos termos do voto do relator e por maioria, em sessão presidida pelo Ministro Ricardo Lewandowski, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
EMENTA: RECURSO EXTRAORDINÁRIO. DIREITO ELEITORAL. DIREITO ADMINISTRATIVO. COMPETÊNCIA PARA JULGAR AS CONTAS DO PREFEITO MUNICIPAL: COMPETÊNCIA DA CÂMARA MUNICIPAL E DO TRIBUNAL DE CONTAS MUNICIPAL. REPERCUSSÃO GERAL RECONHECIDA. RECURSO PREJUDICADO. SUBSTITUIÇÃO DO RECURSO.,"Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em sessão plenária, sob a Presidência do Ministro Joaquim Barbosa, na conformidade da ata de julgamento e das notas taquigráficas, por maioria, julgar prejudicado o recurso extraordinário. Vencido o Ministro Eros Grau (Relator). Reajustou o voto proferido o Ministro Dias Toffoli. Votou o Presidente, Ministro Joaquim Barbosa.",1
"RESPONSABILIDADE CIVIL – SERVIÇO PÚBLICO – FURTO – POSTO DE PESAGEM – VEÍCULO. A teor do disposto no artigo 37, § 6º, da Constituição Federal, há responsabilidade civil de pessoa jurídica prestadora de serviço público em razão de dano decorrente de crime de furto praticado em posto de pesagem, considerada a omissão no dever de vigilância e falha na prestação e organização do serviço.","Vistos, relatados e discutidos estes autos, acordam os Ministros da Primeira Turma do Supremo Tribunal Federal em prover o recurso extraordinário, nos termos do voto do relator e por unanimidade, em sessão presidida pelo Ministro Alexandre de Moraes, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"IMPOSTO DE RENDA – PERCEPÇÃO CUMULATIVA DE VALORES – ALÍQUOTA. A percepção cumulativa de valores há de de ser considerada, para efeito de fixação de alíquotas, presentes, individualmente, os exercícios envolvidos.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal em negar provimento ao recurso extraordinário, por maioria, vencida a relatora, Ministra Ellen Gracie, em sessão presidida pelo Ministro Ricardo Lewandowski, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
Ação direta de inconstitucionalidade. 2. Art. 65 da Constituição do estado de Mato Grosso. 3. Aplicação das proibições e impedimentos estabelecidos a deputados estaduais ao vice-governador. 4. Inexistência de ofensa ao princípio da simetria. 5. A observância da simetria não significa que cabe ao constituinte estadual apenas copiar as normas federais. 6. Ação direta julgada improcedente.,"Vistos, relatados e discutidos estes autos, acordam os ministros do Supremo Tribunal Federal, em sessão plenária, sob a presidência do ministro Ricardo Lewandowski, na conformidade da ata do julgamento e das notas taquigráficas, por unanimidade de votos, julgar improcedente o pedido formulado na ação direta, nos termos do voto do Relator.",1
"AÇÃO DIRETA DE INCONSTITUCIONALIDADE – PREJUÍZO. Uma vez suplantado, mediante novo preceito, o ato atacado na ação direta de inconstitucionalidade, cumpre declarar o prejuízo do pedido formalizado.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal em assentar a perda de objeto da ação quanto ao artigo 34, § 2º, da Constituição do Estado da Paraíba, nos termos do voto do relator e por unanimidade, em sessão presidida pelo Ministro Ricardo Lewandowski, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"EMENTA: Ação Direta de Inconstitucionalidade. Repartição de competências. Lei 1.939, de 30 de dezembro de 2009, do Estado do Rio de Janeiro, que dispõe sobre a obrigatoriedade de informações nas embalagens dos produtos alimentícios comercializados no Estado do Rio de Janeiro. Alegação de ofensa aos artigos 22, VIII, e 24, V, da Constituição Federal. Ocorrência. Ausência de justificativa plausível que autorize restrições às embalagens de alimentos comercializados no Estado do Rio de Janeiro. Competência legislativa concorrente em direito do consumidor. Ausência. Predominância de interesse federal a evitar limitações ao mercado interestadual. Ação julgada parcialmente procedente.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Sessão Plenária, sob a presidência da Senhora Ministra Cármen Lúcia, na conformidade da ata de julgamento e das notas taquigráficas, por maioria de votos, julgar parcialmente procedente a ação declaratória de inconstitucionalidade, nos termos do voto do Relator. Brasília, 3 de agosto de 2017. Ministro GILMAR MENDES Relator Documento assinado digitalmente",1
"EMENTA: TRIBUTÁRIO E CONSTITUCIONAL. PEDÁGIO. NATUREZA JURÍDICA DE PREÇO PÚBLICO. DECRETO 34.417/92, DO ESTADO DO RIO GRANDE DO SUL. CONSTITUCIONALIDADE. 1. O pedágio cobrado pela efetiva utilização de rodovias conservadas pelo Poder Público, cuja cobrança está autorizada pelo inciso V, parte final, do art. 150 da Constituição de 1988, não tem natureza jurídica de taxa, mas sim de preço público, não estando a sua instituição, consequentemente, sujeita ao princípio da legalidade estrita. 2. Ação direta de inconstitucionalidade julgada improcedente.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Sessão Plenária, sob a Presidência do Ministro RICARDO LEWANDOWSKI (Vice-Presidente), na conformidade da ata de julgamentos e das notas taquigráficas, por unanimidade, em julgar improcedente a ação direta, nos termos do voto do relator. Votou o Presidente. Ausentes, justificadamente, o Ministro Luiz Fux e, neste julgamento, os Ministros Joaquim Barbosa (Presidente) e Gilmar Mendes.",1
"Ação direta de inconstitucionalidade. 2. Lei nº 174/1994 do Estado do Amapá. Isenção de emolumentos. Natureza tributária de “taxa”. Tributo estadual. 3. Alegação de ofensa ao art. 22, XXV, da Constituição Federal. Inocorrência. Diploma normativo que concede isenção de emolumentos não ofende competência privativa da União para legislar sobre registros públicos. 4. Ação direta julgada improcedente.","Vistos, relatados e discutidos estes autos, acordam os ministros do Supremo Tribunal Federal, em sessão plenária, sob a presidência do ministro Marco Aurélio (RISTF 37, I), na conformidade da ata do julgamento e das notas taquigráficas, por unanimidade de votos, julgar improcedente a ação, nos termos do voto do Relator.",1
EMENTA: AÇÃO DIRETA DE INCONSTITUCIONALIDADE. CONSTITUCIONAL. ADMINISTRATIVO. VINCULAÇÃO OU EQUIPARAÇÃO DE VENCIMENTOS. MAGISTRATURA. MINISTÉRIO PÚBLICO. CONSTITUIÇÃO DO ESTADO DO PARANÁ. INCONSTITUCIONALIDADE. PROCEDÊNCIA DA AÇÃO. 1. É inconstitucional a vinculação de espécies remuneratórias das carreiras da magistratura e do Ministério Público constante de norma prevista na Constituição do Estado. 2. Ação direta de inconstitucionalidade julgada procedente.,"Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Sessão Plenária, sob a Presidência do Ministro RICARDO LEWANDOWSKI, na conformidade da ata de julgamento e das notas taquigráficas, por unanimidade e nos termos do voto do Relator, em julgar procedente o pedido formulado para declarar a inconstitucionalidade da letra “d”, do inciso I, do artigo 118 da Constituição do Estado do Paraná.",1
