text,category
"Embargos de declaração em ação direta de inconstitucionalidade. 2. Ausência de omissão, contradição ou obscuridade no acórdão embargado. 3. Embargos de declaração rejeitados.",EMBARGOS DE DECLARAÇÃO
Ação direta de inconstitucionalidade. 2. Art. 65 da Constituição do estado de Mato Grosso. 3. Aplicação das proibições e impedimentos estabelecidos a deputados estaduais ao vice-governador. 4. Inexistência de ofensa ao princípio da simetria. 5. A observância da simetria não significa que cabe ao constituinte estadual apenas copiar as normas federais. 6. Ação direta julgada improcedente.,AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"AÇÃO DIRETA DE INCONSTITUCIONALIDADE – PREJUÍZO. Uma vez suplantado, mediante novo preceito, o ato atacado na ação direta de inconstitucionalidade, cumpre declarar o prejuízo do pedido formalizado.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"EMENTA: Ação Direta de Inconstitucionalidade. Repartição de competências. Lei 1.939, de 30 de dezembro de 2009, do Estado do Rio de Janeiro, que dispõe sobre a obrigatoriedade de informações nas embalagens dos produtos alimentícios comercializados no Estado do Rio de Janeiro. Alegação de ofensa aos artigos 22, VIII, e 24, V, da Constituição Federal. Ocorrência. Ausência de justificativa plausível que autorize restrições às embalagens de alimentos comercializados no Estado do Rio de Janeiro. Competência legislativa concorrente em direito do consumidor. Ausência. Predominância de interesse federal a evitar limitações ao mercado interestadual. Ação julgada parcialmente procedente.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"EMENTA: TRIBUTÁRIO E CONSTITUCIONAL. PEDÁGIO. NATUREZA JURÍDICA DE PREÇO PÚBLICO. DECRETO 34.417/92, DO ESTADO DO RIO GRANDE DO SUL. CONSTITUCIONALIDADE. 1. O pedágio cobrado pela efetiva utilização de rodovias conservadas pelo Poder Público, cuja cobrança está autorizada pelo inciso V, parte final, do art. 150 da Constituição de 1988, não tem natureza jurídica de taxa, mas sim de preço público, não estando a sua instituição, consequentemente, sujeita ao princípio da legalidade estrita. 2. Ação direta de inconstitucionalidade julgada improcedente.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"EMBARGOS DECLARATÓRIOS – INEXISTÊNCIA DE VÍCIO. Uma vez constatada a inexistência de qualquer dos vícios que respaldam os embargos declaratórios, impõe-se o desprovimento.",EMBARGOS DE DECLARAÇÃO
"EMENTA: AGRAVO REGIMENTAL NA AÇÃO CÍVEL ORIGINÁRIA. REGÊNCIA: CÓDIGO DE PROCESSO CIVIL/1973. AÇÃO DE REPETIÇÃO DE INDÉBITO TRIBUTÁRIO. COBRANÇA DE IMPOSTO SOBRE OPERAÇÕES DE CRÉDITO, CÂMBIO E SEGUROS – IOF. QUESTÃO DA IMUNIDADE RECÍPROCA RESOLVIDA EM MANDADO DE SEGURANÇA TRANSITADO EM JULGADO. AÇÃO DE NATUREZA PATRIMONIAL. AUSÊNCIA DE CONFLITO FEDERATIVO A PROVOCAR A COMPETÊNCIA DO SUPREMO TRIBUNAL FEDERAL PREVISTA NO ART. 102, INC. I, AL. F, DA CONSTITUIÇÃO DA REPÚBLICA. AGRAVO REGIMENTAL AO QUAL SE NEGA PROVIMENTO.",AGRAVO REGIMENTAL
"Ação direta de inconstitucionalidade. 2. Lei nº 174/1994 do Estado do Amapá. Isenção de emolumentos. Natureza tributária de “taxa”. Tributo estadual. 3. Alegação de ofensa ao art. 22, XXV, da Constituição Federal. Inocorrência. Diploma normativo que concede isenção de emolumentos não ofende competência privativa da União para legislar sobre registros públicos. 4. Ação direta julgada improcedente.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
EMENTA: AÇÃO DIRETA DE INCONSTITUCIONALIDADE. CONSTITUCIONAL. ADMINISTRATIVO. VINCULAÇÃO OU EQUIPARAÇÃO DE VENCIMENTOS. MAGISTRATURA. MINISTÉRIO PÚBLICO. CONSTITUIÇÃO DO ESTADO DO PARANÁ. INCONSTITUCIONALIDADE. PROCEDÊNCIA DA AÇÃO. 1. É inconstitucional a vinculação de espécies remuneratórias das carreiras da magistratura e do Ministério Público constante de norma prevista na Constituição do Estado. 2. Ação direta de inconstitucionalidade julgada procedente.,AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"Extradição instrutória. 2. Tráfico de entorpecentes e lavagem de dinheiro. 3. Ausência de documentação referente ao delito de lavagem de dinheiro. 4. Requisitos da dupla tipicidade e punibilidade atendidos quanto ao crime de tráfico de entorpecentes. 5. Extraditando que responde a processo penal no Brasil por crime diverso daquele que versa o pedido de extradição. 6. Discricionariedade do Chefe do Poder Executivo para ordenar a extradição ainda que haja processo penal instaurado ou mesmo condenação no Brasil (art. 89, parte final, da Lei 6.815/1980). 7. Pedido de extradição deferido parcialmente.",EXTRADIÇÃO
Extradição instrutória requerida pelo Governo dos Estados Unidos da América 2. Tratado de Extradição firmado entre o Brasil e os Estados Unidos da América. 3. Processamento do pedido de acordo com a Lei 6.815/1980. Requisitos formais atendidos. 4. Dupla tipicidade e punibilidade. 5. Extradição deferida com a ressalva da comutação da pena e do art. 89 do Estatuto do Estrangeiro..,EXTRADIÇÃO
"Extradição instrutória. 2. Crimes de tráfico de drogas e posse ilegal de arma. 3. Atendimento dos requisitos formais. 4. Dupla tipicidade. 5. Prescrição do crime de posse ilegal de arma. 6. O fato de o extraditando possuir filho brasileiro não constitui óbice ao deferimento da extradição. Precedentes. 7. Pedido deferido sob a condição de que o Estado requerente assuma, em caráter formal, o compromisso de comutar os dias preso por força da extradição. 8. Deferimento parcial do pleito extradicional (somente em relação ao crime de tráfico de drogas).",EXTRADIÇÃO
"Extradição executória. Crimes de posse ilegal de armas e quadrilha armada. 3. Atendimento dos requisitos formais. 4. Dupla tipicidade e punibilidade. 5. Extraditando que responde a processo penal no Brasil por crime diverso daquele que versa o pedido de extradição. 6. Discricionariedade do Chefe do Poder Executivo para ordenar a extradição ainda que haja processo penal instaurado ou mesmo condenação no Brasil (art. 89 da Lei 6.815/1980). 7. Pedido de extradição deferido, com a ressalva do art. 89 do Estatuto do Estrangeiro.",EXTRADIÇÃO
"Extradição instrutória. 2. Crimes de tráfico internacional de entorpecentes, contrabando e formação de quadrilha. 3. Superveniência de sentença condenatória com aplicação de pena de 10 anos de reclusão. Possibilidade de conversão da extradição instrutória em extradição executória. 4. Atendimento dos requisitos formais. Dupla tipicidade e punibilidade. 5. O fato de o extraditando ter filho brasileiro não constitui óbice ao deferimento da extradição. 6. Alegações de insuficiência de provas da participação do estrangeiro nos fatos delituosos e de julgamento à revelia devem ser suscitadas perante a Justiça francesa. Sistema de contenciosidade limitada peculiar ao processo de extradição. 7. Pedido deferido.",EXTRADIÇÃO
"EXTRADIÇÃO – DUPLA TIPICIDADE E AUSÊNCIA DE PRESCRIÇÃO. Atendidas as formalidades legais, estando configurada a simetria em termos de imputações considerada a legislação do país requerente e a do Brasil e não incidindo a prescrição, cumpre deferir o pedido formalizado, sendo defeso ao Judiciário brasileiro adentrar a questão alusiva à procedência ou improcedência das acusações.",EXTRADIÇÃO
"EXTRADIÇÃO – REQUISITOS. Uma vez atendidos requisitos legais sob o ângulo da existência de ordem de prisão ou de título condenatório criminal, da dupla tipologia e da ausência de prescrição, respeitando os documentos anexados ao processo a forma prevista em lei, cumpre reconhecer a possibilidade de implementar a extradição, cabendo o ato definidor ao Chefe do Poder Executivo Nacional.",EXTRADIÇÃO
EMBARGOS DECLARATÓRIOS – SUCESSIVIDADE. Os terceiros embargos declaratórios pressupõem o surgimento de vício quando do julgamento dos segundos.,EMBARGOS DE DECLARAÇÃO
"Extradição executória. 2. Crime de lesão corporal grave. 3. Atendimento dos requisitos formais. Dupla tipicidade e punibilidade. 4. Adotado o sistema belga ou de contenciosidade limitada, não há falar em apreciação dos fundamentos adotados pelas autoridades estrangeiras para o pedido de extradição. Ofensa à ampla defesa. Inocorrência. 5. Período de detração limitado ao tempo em que o extraditando encontrou- se à disposição do Supremo Tribunal Federal com a finalidade de garantir a entrega do estrangeiro ao Governo requerente. 6. Estrangeiro que cumpre pena em regime domiciliar por condenação pela Justiça brasileira. 7. Extradição deferida, com a ressalva dos artigos 89 e 67 da Lei 6.815/80.",EXTRADIÇÃO
"EXTRADIÇÃO – REQUISITOS. Uma vez atendidos os requisitos legais – ordem de prisão ou de título condenatório criminal, da promessa de reciprocidade do Estado requerente, da dupla tipologia e da ausência de prescrição –, mostrando-se os documentos anexados ao processo em harmonia com a forma prevista em lei, há de ser reconhecida a possibilidade de entrega do extraditando, cabendo o ato ao Chefe do Poder Executivo Nacional.",EXTRADIÇÃO
"EMBARGOS DECLARATÓRIOS. Cumpre apreciá-los com espírito de compreensão, porquanto voltados, em última análise, ao aperfeiçoamento da prestação jurisdicional.",EMBARGOS DE DECLARAÇÃO
"EMENTA: AÇÃO DIRETA DE INCONSTITUCIONALIDADE. PROCESSO ADMINISTRATIVO N. 16.117/91 DO TRIBUNAL DE JUSTIÇA DO DISTRITO FEDERAL E TERRITÓRIOS. URPS DE JULHO DE 1987 A NOVEMBRO DE 1989. CONCESSÃO POR DECISÃO ADMINISTRATIVA. IMPOSSIBILIDADE. DIREITO ADQUIRIDO. INEXISTÊNCIA. PROCEDÊNCIA DA AÇÃO DIRETA. 1. A concessão de qualquer benefício remuneratório a servidores públicos exige lei específica, nos termos do art. 37, X, da Constituição Federal. Precedentes. 2. De acordo com a jurisprudência do Supremo Tribunal Federal, não há direito adquirido ao reajuste de 26,06% (Plano Bresser). 3. Ação direta de inconstitucionalidade julgada procedente.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
